Customer_Policy_ID,Customer_ID,Customer_Policy_Type,Customer_Coverage_Amount,Customer_Annual_Premium,Policy_Start_Date,Policy_End_Date,Policy_Duration_Days,Agent_ID,Customer_Policy_Status,Premium_Collected
POL50001,CUST10833,Property,169870.0,27193.9,2021-07-25,2022-10-25,457,AGT5238,Active,34048.253
POL50002,CUST11786,Health,546515.0,19603.4,2022-09-19,2024-04-29,588,AGT5008,Cancelled,31580.272
POL50003,CUST10501,Property,944249.0,36274.6,2022-12-08,2025-04-23,867,AGT5118,Cancelled,86164.598
POL50004,CUST10349,Property,209475.0,23091.6,2024-04-09,2024-07-20,102,AGT5090,Active,6452.995
POL50005,CUST12296,Term,887938.0,10458.2,2022-10-08,2024-12-12,796,AGT5050,Lapsed,22807.472
POL50006,CUST10250,Health,979428.0,4539.35,2021-06-27,2021-08-08,42,AGT5264,Cancelled,522.336
POL50007,CUST10608,Whole,541181.0,45441.7,2022-09-23,2024-02-09,504,AGT5028,Lapsed,62746.895
POL50008,CUST10296,Vehicle,971675.0,48214.2,2022-12-23,2024-08-20,606,AGT5067,Active,80048.781
POL50010,CUST11384,Property,130540.0,3511.69,2023-12-08,2025-03-08,456,AGT5085,Lapsed,4387.207
POL50011,CUST10394,Health,131153.0,9900.3,2022-11-14,2023-05-11,178,AGT5170,Active,4828.092
POL50012,CUST11518,Whole,815757.0,44472.1,2024-05-16,2025-04-20,339,AGT5234,Active,41304.224
POL50013,CUST11126,Vehicle,547914.0,39658.4,2023-05-23,2025-06-14,753,AGT5189,Active,81815.822
POL50015,CUST10475,Property,907020.0,6462.12,2022-06-30,2022-09-02,64,AGT5001,Cancelled,1133.084
POL50016,CUST11064,Whole,586344.0,45327.7,2021-11-18,2022-09-14,300,AGT5213,Cancelled,37255.644
POL50017,CUST10592,Vehicle,275989.0,37887.1,2020-10-27,2025-02-16,1573,AGT5275,Cancelled,163277.831
POL50018,CUST11364,Property,384698.0,49184.0,2020-10-05,2024-04-30,1303,AGT5098,Cancelled,175580.142
POL50019,CUST10066,Vehicle,434043.0,37396.9,2023-04-22,2024-08-12,478,AGT5176,Cancelled,48974.57
POL50025,CUST10942,Vehicle,353023.0,18602.8,2024-07-08,2024-12-08,153,AGT5209,Active,7797.886
POL50026,CUST12109,Term,719070.0,14093.7,2020-10-11,2024-09-27,1447,AGT5027,Cancelled,55872.833
POL50027,CUST11999,Property,840588.0,35314.2,2021-11-25,2023-07-18,600,AGT5204,Lapsed,58050.74
POL50028,CUST12156,Health,582716.0,39794.2,2023-01-06,2025-01-11,736,AGT5126,Active,80242.551
POL50029,CUST11359,Vehicle,163824.0,33285.6,2023-06-22,2024-11-04,501,AGT5061,Lapsed,45687.906
POL50030,CUST10448,Property,807060.0,36635.1,2023-11-23,2024-09-09,291,AGT5207,Cancelled,29207.71
POL50032,CUST11417,Whole,798814.0,20473.6,2023-01-23,2023-03-16,52,AGT5004,Cancelled,2916.787
POL50035,CUST10592,Health,871514.0,28973.7,2021-09-05,2024-12-30,1212,AGT5136,Cancelled,96208.56
POL50036,CUST12390,Health,142307.0,36977.7,2023-09-22,2025-07-17,664,AGT5042,Lapsed,67269.021
POL50037,CUST10489,Term,627890.0,36865.3,2021-12-27,2024-08-17,964,AGT5063,Lapsed,97364.792
POL50040,CUST10014,Term,547848.0,27414.2,2024-06-08,2024-12-03,178,AGT5132,Active,13369.117
POL50041,CUST11804,Term,843370.0,41887.9,2022-07-14,2024-06-13,700,AGT5066,Lapsed,80332.959
POL50042,CUST11271,Vehicle,328869.0,4714.79,2023-04-21,2025-06-20,791,AGT5274,Cancelled,10217.531
POL50043,CUST11243,Property,690041.0,46085.6,2023-05-23,2024-04-10,323,AGT5193,Lapsed,40782.599
POL50044,CUST11129,Health,904617.0,40740.7,2021-07-15,2025-07-15,1461,AGT5038,Active,163074.418
POL50046,CUST10970,Whole,711204.0,38808.0,2022-12-13,2025-07-07,937,AGT5170,Active,99624.921
POL50048,CUST11327,Vehicle,372263.0,15032.7,2023-11-02,2025-02-14,470,AGT5197,Cancelled,19357.175
POL50049,CUST12232,Term,975344.0,17815.8,2023-07-30,2023-10-13,75,AGT5137,Cancelled,3660.781
POL50050,CUST11918,Whole,816791.0,18906.4,2022-12-13,2024-07-17,582,AGT5125,Lapsed,30146.643
POL50051,CUST11108,Whole,160786.0,28970.4,2021-06-08,2025-03-18,1379,AGT5150,Active,109452.552
POL50052,CUST11513,Whole,734826.0,45043.3,2022-08-04,2022-11-08,96,AGT5016,Cancelled,11847.005
POL50053,CUST11051,Health,742128.0,28612.2,2023-12-03,2024-04-07,126,AGT5122,Cancelled,9877.088
POL50054,CUST10326,Term,696088.0,6102.28,2023-12-23,2025-02-07,412,AGT5200,Cancelled,6888.053
POL50055,CUST10712,Health,551375.0,40816.1,2023-02-27,2025-04-17,780,AGT5090,Active,87223.447
POL50056,CUST10542,Whole,270382.0,29110.0,2020-10-11,2023-04-26,927,AGT5104,Cancelled,73931.425
POL50057,CUST11838,Term,840905.0,22216.8,2024-05-09,2025-03-14,309,AGT5177,Lapsed,18808.195
POL50058,CUST11567,Health,655087.0,44894.3,2021-01-07,2021-12-17,344,AGT5143,Lapsed,42311.34
POL50059,CUST10566,Term,200301.0,17198.1,2023-11-09,2024-09-16,312,AGT5050,Active,14700.842
POL50060,CUST11977,Term,839418.0,15558.9,2022-04-08,2023-11-23,594,AGT5108,Lapsed,25320.511
POL50063,CUST11444,Term,177725.0,4067.07,2023-10-10,2025-01-04,452,AGT5048,Cancelled,5036.481
POL50064,CUST10416,Health,880510.0,43646.8,2022-04-01,2022-08-25,146,AGT5066,Cancelled,17458.72
POL50065,CUST12295,Health,915191.0,42854.3,2023-11-30,2024-01-15,46,AGT5124,Cancelled,5400.816
POL50066,CUST10889,Health,835786.0,12499.3,2023-01-07,2024-05-11,490,AGT5064,Lapsed,16779.882
POL50068,CUST12089,Term,547703.0,19496.3,2023-12-15,2024-06-14,182,AGT5287,Active,9721.443
POL50069,CUST10956,Vehicle,682126.0,38420.2,2022-12-21,2023-02-12,53,AGT5107,Cancelled,5578.824
POL50070,CUST11671,Health,956322.0,25615.9,2022-06-20,2022-12-21,184,AGT5271,Lapsed,12913.221
POL50074,CUST12293,Health,746039.0,49980.6,2024-03-06,2025-04-25,415,AGT5141,Lapsed,56827.258
POL50075,CUST10985,Health,743614.0,30514.5,2021-07-02,2023-12-06,887,AGT5117,Active,74154.415
POL50076,CUST10687,Property,187706.0,11221.7,2022-11-28,2024-12-03,736,AGT5165,Active,22627.866
POL50078,CUST10752,Whole,694428.0,19815.2,2021-09-04,2024-07-10,1040,AGT5142,Active,56459.748
POL50079,CUST10227,Whole,465702.0,35037.0,2022-12-24,2023-05-18,145,AGT5293,Lapsed,13918.808
POL50080,CUST12234,Whole,588273.0,35376.6,2024-03-16,2025-04-06,386,AGT5213,Active,37411.966
POL50081,CUST10503,Vehicle,753449.0,7062.18,2024-02-18,2024-04-13,55,AGT5040,Active,1064.164
POL50082,CUST11701,Term,349076.0,11261.5,2023-10-19,2023-12-03,45,AGT5194,Lapsed,1388.404
POL50084,CUST12150,Health,511881.0,3274.74,2021-11-08,2025-02-14,1194,AGT5205,Lapsed,10712.437
POL50086,CUST12375,Vehicle,257171.0,43304.3,2024-06-27,2025-07-05,373,AGT5179,Active,44253.435
POL50089,CUST11404,Term,935039.0,39801.0,2024-04-21,2025-05-03,377,AGT5266,Lapsed,41109.526
POL50090,CUST10346,Vehicle,569228.0,36747.9,2024-07-12,2025-04-05,267,AGT5289,Lapsed,26881.341
POL50091,CUST11971,Vehicle,825009.0,9878.53,2022-03-09,2022-04-24,46,AGT5250,Active,1244.965
